player_id,player_name,team_id,player_role
10366616,Sneyking,8291895,Support
16497807,tOfu,8599101,Support
25907144,Cr1t-,39,Support
54580962,Insania,2163,Support
73562326,zai,2163,Core
77490514,Boxi,2163,Support
81306398,KJ,1061269,Support
81475303,Yamsun,8728920,Support
84429681,Moo,8728920,Core
84853828,Kingrd,1061269,Support
85696663,n1ght,7391077,Support
86698277,33,8291895,Core
86745912,天鸽,39,Core
86822085,Costabile,1061269,Core
87063175,Lelis,8728920,Support
91730177,Seleri,8599101,Support
94049589,Fng,8724984,Support
94054712,Topson,8291895,Mid
94155156,Fly,39,Support
94738847,chalice,8574561,Core
94786276,Nine,8291895,Support
96183976,TA2000,8894818,Core
96803083,Stormstormer,8605863,Mid
97590558,Ace ♠,8599101,Core
97658618,Timado,8260983,Core
100058342,skiter,8291895,Core
100471531,Jabz,8597976,Core
101259972,Oli~,8597976,Support
101695162,fy,8574561,Support
106305042,Larl,7119388,Mid
106573901,No[o]ne-,8244493,Mid
106863163,Somnus,8574561,Mid
107579895,fcr,1061269,Core
111114687,WhyouSm1Le,15,Support
113331514,Miposhka,7119388,Support
116585378,MidOne,8244493,Core
116934015,dyrachyo,8599101,Core
117089283,Panda,8255756,Support
119576842,- 米克 -,8244493,Support
119631156,stingeR,8254400,Support
123023873,squad1x,8724984,Mid
124801257,Nightfall,8255888,Core
126212866,SaberLight,39,Core
126238768,Gunnar,8728920,Mid
127565532,Fishman,8605863,Support
131303632,4nalog <01,1061269,Mid
132851371,RAMZES666,7422789,Core
134556694,Solo,7422789,Support
136829091,Whitemon,8260983,Support
140288368,Tobi,8894818,Core
140297552,No!ob™,8894818,Mid
145065875,sayuw,8724984,Support
145957968,niu,15,Core
148526973,Jaunuel,8244493,Support
150961567,planet,15,Support
152168157,OmaR,8894818,Support
152545459,Gabbi,8605863,Core
152962063,m1CKe,2163,Core
153836240,C.smile <,8255756,Mid
154715080,Abed,39,Mid
155162307,Knight~,7391077,Core
155332459,Matthew,8255756,Support
157989498,Scofield,8254400,Support
158847773,天命,8574561,Support
161839895,Antares,7422789,Support
164685175,K1 tqmD,8728920,Core
165564598,MieRo`,7422789,Core
171262902,医者watson`,8605863,Core
172099728,Kiritych~,8724984,Core
173978074,NothingToSay,15,Mid
184138153,Masaros,8244493,Core
184620877,kasane,8260983,Core
185908355,Lou,8574561,Core
186837494,Mjz,7391077,Support
193815691,Q,8597976,Support
195108598,Noticed,8724984,Core
196878136,Kataomi`,8605863,Support
201358612,Nisha,2163,Mid
221666230,Quinn,8599101,Mid
238239590,Bryle,8260983,Mid
256156323,Mira,7119388,Support
292921272,Wisper,8255756,Core
301750126,Mikoto,8597976,Mid
302214028,Collapse,7119388,Core
308163407,ILICH-,7391077,Core
317880638,Save-,8255888,Support
320219866,kaori,8894818,Support
320252024,shiro,15,Core
321580662,Yatoro雨,7119388,Core
331855530,Pure~,8255888,Core
339235645,Pakazs,8255756,Core
346412363,Ari,8260983,Support
352545711,DarkMago♡,8254400,Mid
375507918,23,8597976,Core
383867949,SLATEM$,7391077,Mid
408729743,Sacred,8254400,Core
431770905,TORONTOTOKYO,8255888,Support
480412663,gpk~,8255888,Mid
858106446,kiyotaka,7422789,Mid
1171243748,JimPark,8254400,Core
