team_id,team_name,team_tag
15,LGD Gaming,LGD
39,Shopify Rebellion,SR
2163,Team Liquid,Liquid
1061269,Vivo Keyd Stars,VKS
7119388,Team Spirit,TSpirit
7391077,Thunder Awaken,THUNDER
7422789,9Pandas,9Pandas
8244493,Team SMG,SMG
8254400,beastcoast,bc
8255756,Evil Geniuses,EG
8255888,BetBoom Team,BetBoom
8260983,TSM,TSM
8291895,Tundra Esports,Tundra
8574561,Azure Ray,AR
8597976,Talon,TLN
8599101,Gaimin Gladiators,GG
8605863,Entity,Entity
8724984,Virtus.pro,VP
8728920,nouns,nouns
8894818,Quest Esports,Quest
