player_role,emblem_colour,emblem_stat,all_player_average,all_player_stddev,top_player_average,top_player_stddev
Core,Green,Teamfight Participation,1142.5880195741956,290.7927855334803,1072.3703703690576,309.0903150671783
Core,Green,Tormentor Kills,741.0958313510216,781.4774801164908,884.9513811277387,823.4054031508877
Core,Green,Roshan Kills,404.73532265007606,558.4504782935015,685.8662540589951,769.3402749381881
Core,Green,Stuns,634.1342259447088,647.4605648449872,444.85233148966466,526.0123652893086
Core,Green,First Blood,217.40078275513065,613.7787931226599,248.40305568386484,660.6538737854339
Core,Green,Courier Kills,201.15034036752806,454.1336328398371,210.45447593888798,445.3005921255826
Core,Red,Deaths,1582.5166970477812,660.8690917108718,1753.0690327424406,609.0571179585776
Core,Red,GPM,1360.2335588083351,372.62348636055674,1544.3278750438506,475.6349918767499
Core,Red,Creep Score,1222.7665879471197,458.9196096366142,1493.522078120255,577.7481731353253
Core,Red,Neutral Tokens Found,1173.134221843106,402.48621313447046,1304.8720111782136,485.28007710938357
Core,Red,Tower Kills,743.6744604298625,592.8083520262372,1120.32885539244,771.0029832458995
Core,Red,Kills,793.7210348198191,504.7317413068227,911.0878520967227,576.2624140552799
Mid,Blue,Runes Grabbed,1218.651466115935,523.1502682252586,1163.5392392014564,495.76519275281424
Mid,Blue,Camps Stacked,308.381521951358,323.8085606945265,345.8411513627302,341.2537195508592
Mid,Blue,Watchers Taken,244.25091023209947,257.7679209200246,265.13094887494304,267.4070767882051
Mid,Blue,Wards Placed,190.14853035848722,86.0006309475714,210.13899432749375,76.36038835390639
Mid,Blue,Lotuses Grabbed,106.30838082779795,247.14057639692444,153.86656284032873,302.6820165131964
Mid,Blue,Smokes Used,24.118279576489346,79.53369425253467,33.08529330163551,99.68349983470158
Mid,Green,Teamfight Participation,1298.2114396139687,254.70827516965937,1313.038999654509,243.19429629235242
Mid,Green,Stuns,835.0383379342384,753.5470036214431,969.3711450289728,891.2618869725659
Mid,Green,Tormentor Kills,474.2772695788134,646.2946765667509,603.292030050027,803.3128222268795
Mid,Green,Courier Kills,165.748102695239,382.1032230230163,195.23209717506083,400.1262899590172
Mid,Green,Roshan Kills,187.26381114074132,391.996693533241,156.24176517003633,352.8750273439867
Mid,Green,First Blood,140.6154243465182,490.66725203312666,118.35738827048505,427.0064364806635
Mid,Red,Deaths,1664.2300392732386,621.5784221593827,1755.7532252714302,630.2794971927727
Mid,Red,GPM,1215.3082636209106,277.16566505186836,1195.5966357181721,192.472805601976
Mid,Red,Neutral Tokens Found,1017.2349716804921,334.18455332027867,1146.0645019662486,318.7675310793293
Mid,Red,Creep Score,1020.950565717706,378.7914191828354,1066.953738029671,425.94555441401076
Mid,Red,Kills,912.0337990912342,526.0732516947207,908.6654009606618,480.85196634437705
Mid,Red,Tower Kills,362.24148457124227,385.62383754347593,314.82743794529733,371.0428220061389
Support,Blue,Watchers Taken,1113.7507044306471,550.8927608384315,1457.961066314244,657.3085011960694
Support,Blue,Smokes Used,1180.2779289136747,696.562800194107,1249.5192115587806,718.542642392726
Support,Blue,Wards Placed,1245.6109681506052,520.119464210477,1242.735243684541,492.16906382114706
Support,Blue,Lotuses Grabbed,788.4199099198511,737.1361164926576,1062.703036469262,948.3646069438621
Support,Blue,Camps Stacked,850.260313022546,655.2797353223084,808.0986528737193,650.1952671844679
Support,Blue,Runes Grabbed,594.8273579226163,325.8075776416124,666.5600234830664,314.72306607028065
Support,Green,Teamfight Participation,1273.9367335199186,242.12507394122355,1306.6785948272598,222.19887289138575
Support,Green,Stuns,796.7797937469129,791.685416683135,944.4366321445973,972.806206700311
Support,Green,Tormentor Kills,434.7027999440009,562.9460813788302,472.0256818945796,564.819022907844
Support,Green,Courier Kills,277.2867094437388,497.6381284934844,396.90370761363243,590.4820067215833
Support,Green,First Blood,238.5472272569453,628.2819386049837,146.69029000641362,492.5325173428423
Support,Green,Roshan Kills,66.01886240652793,236.03390589369513,82.73612940790404,261.95639483481773
